Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch,word_count
625877829,2,2018-8,United Kingdom,"Our grandaughter loved the magic and we made sure that she enjoyed her first ever trip abroad. Yes, we knew that it was going to be exensive and we were prepared for that. What we did not expect was the lack of customer care when things were not as they should have been. A worrying aspect was that the pool at the New York Hotel was not suitable for young (or old) novice swimmers as it was the same depth throughout. We have let Eurodisney Paris know about our concerns, not to seek any financial redress, but to make them aware of the our numerous concerns. Despite sending our letter in August, we have not had a written response. Again, a customer service issue.",Disneyland_Paris,124
175536745,5,2013-5,Canada,"This is still one of the most fun and safe places to visit for all ages. They have rides for all ages. Exciting and gentle. The Disney characters can't help but make you smile and no one does a parade like Disney. Even the fire works are extra special. Something for everyone. Adventureland, New Orleans Square are our two most favourite lands. Love the Pirates, Haunted Mansion . We bought a two day pass and also went over to California Adventure where we went on Soarin' Over California. A great experience over all. The one day we didn't go to a park there was enough to do in Downtown Disney and the hotels. Everyone should experience a Disney Park at least once in their life.",Disneyland_California,125
146808341,4,2012-7,Australia,"We went there in July. We had a 2 day pass tix and stayed at one of the Disney hotel as part of the package deal. Disneyland itself was great, all the attractions were working when we were there. Disneyland HongKong is smaller than Disneyland Anaheim and Paris, but Disneyland HK has Toy Stroy land and Bear (something) land. Queing up is part of the fun at Disneyland. My only suggestion when you are queing up is stay on the line and be firm as the locals like to push in front of you. Golden Micky was my daughter favorite, make sure you get there first when it is a bit quieter. Restaurants and food courts were ok not over priced, but i found some of them were dirty. Cute to hear Mickey speaks Chinese :).",Disneyland_HongKong,136
334348622,5,2015-12,United Kingdom,"First time to Disney & it didn't disappoint! A completely magical experience for all the family!!! We had the best time and will definitely be booking to go back!!I would highly recommend trying to avoid the weekend during your trip. It just gets too busy. Waiting in line for the princess pavilion is completely worth it, if you've got a little princess yourself.The only thing that infuriated us, was when adults would stand right at the front & refuse to let the kids infront. I completely get that you e paid the same as us but a child is half your height & your an Adult!All in all, the experience was one in million. Happiest place ever & I highly recommend it!!!",Disneyland_Paris,122
228480592,2,2014-9,Estonia,"We came all the way from Europe to Disneyland , cause my 4 year old sons wante to see Mickey Mouse so so much and me myself have read several Disney books, where they explain their usiness concept, customer service etc ...  We saw Mickey , that was good , son was happy . But to be be honest, the whole park seems to be out of date , we really excpected so much more, and most of all, customer service s totally avarage , I even heard one of the employee talking bad language , good that my son doesnt undestand english :) .Day before we went to universal studios , and folks in Disney , tehy are really 10 year ahead of you , in everypossible way.....",Disneyland_California,129
165745877,1,2013-6,Canada,"Please tell me this place isn't owned and operated by the walt disney company!! After having been a disney world annual passholder for numerous years, we decided to try out a foreign disney property on our recent trip to Europe. We were so disappointed. Major rides were down for maintenance, in what I am assuming, being summer, is prime time. Other rides were regularly  temporarily paused . We would be in a long queue, only to have the ride break down, forcing us to leave . Numerous restaurants were not open, whilst there were lines into the streets for the ones that were. Not nearly enough washrooms, most always a queue, and not looked after. For an amusement park, it would be ok...but to have the Disney name attached to it....not so much. Definitely the low point of our vacation.",Disneyland_Paris,140
383488155,5,2016-5,Germany,"Saturday unbelievably busy. Could get an early entry pass from the hotel which let us in at 8am some rides open for the little ones. Some major rides closed for maintenance, but you can check on line before you travel which ones. Light show on the castle very good but too late at 11pm for kids to see it. A couple of days we went back to hotel in afternoon, out to eat in the village 5 to 6 pm then back into park and it was really quite, virtually no queues which was good for the kids. They even let us stay on one of the rides as no one was waiting  saw pinnochio loads of times!! Overall excellant for the kids and after a while you forget the rain!!!",Disneyland_Paris,131
388528722,2,2016-6,United Kingdom,"Overpriced, lack lustre & outdated! In short you pay on average    90 Euros a person to enter a Disney shopping mall. We visited last week in June & the majority of the rides were shut. Take your own food or pay over the top for poor quality food. Another great way of making more money for Disney is the clever pricing, everything ends in either.49 or.99 if you don't have the correct change they make out they have no 1 cents so this leads you to say it's only 1 cent don't worry about the change as we & numerous others did....you work the math on how much that makes them over the day. Toilets dirty or closed staff couldn't give a damn the  magic  has clearly worn off!",Disneyland_Paris,129
251902209,4,2015-1,Indonesia,"it takes about 30 minutes from hongkong island to disneyland or lantau island by MRT sub way train..the ticket is 499HKD about 800IDR, quite expensive but u will never regret it.there's so many attractions,show,game food,merchandise, ETC.i bet you one day isn't enough for you to try all the attractions cause you must wait the line about 30 minutes for each attractions,so u must arrive on Disneyland on 11Am(the open time). but i tell you that some attractions that you must try is racer at toy story land ,golden mickey at fantasy land, big grizzy bear(roller coaster) at adventure land, evening parade on 7pm and fire works on 8.30pm at sleeping beauty castle.it was a great moment,awesome feeling when you steeping the Disneyland.it feel like you become YOUNG AGAIN.",Disneyland_HongKong,128
530048726,4,2017-10,Australia,"This was our first family experience of Disneyland, and whilst good was probably not comparable with the US parks. I'm saying this as it was easily covered in a day. For the younger kids it's great, but post 6 or 7 the rides are limited. That said, we still had a great day and the ambience is magical. My son is 8 going on 9 and loved the day. The rides are clean and the place is well staffed. The park was packed when we attended as it was the day after a public holiday, and the heat was oppressive. But we still had a great but very tiring day. Having been to Ocean Park, for older kids and whilst it's not as polished as Disney, it has bigger rides that will better suit them. ",Disneyland_HongKong,135
